Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2016.A5.025.17A,Life Course Effects on Marital Stability: Experience of Remarried Mainland Chinese Migrant Women in Hong Kong,"Dr TO Wai Chun, Clara",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A5.025.17A_Final Report_Dr To.pdf,2017-18 (First Round),17,500000,Livelihood Issues,
2016.A6.075.17A,Facilitating the Diffusion of Building Information Modeling (BIM) in the Hong Kong Construction Industry: A Network Perspective,Prof LI Heng,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A6.075.17A_Final Report_Prof Li.pdf,2017-18 (First Round),18,716335,Economic Development,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A6.075.17A.zip
2016.A8.052.17A,"Exploring the Motivations, Incentive Designs, and Performance of Open Innovation in Hong Kong","Dr LIU Kang Huey, Helen",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A8.052.17A_Final Report_Dr Liu.pdf,2017-18 (First Round),12,297032,Application of Innovation and Technology,
2016.A8.055.17A,"Associations between Emerging Political Ideology, Political Participation and Social Media Use: Making Sense of the Connections between ""Localism"", ""Populism"", and Post-materialism in Hong Kong",Dr FU King Wa,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A8.055.17A_Final Report_Dr Fu.pdf,2017-18 (First Round),12,780234,Political Development and Governance,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A8.055.17A.zip
2016.B13.002.17A,From Ketamine to Ice: Neutralisation Techniques and Risk Perception of Adolescent Drug Abusers,Dr LI Hang,Hong Kong Shue Yan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.B13.002.17A_Final Report_Dr Li.pdf,2017-18 (First Round),12,422464,Youth Development,
2016.A1.051.17B,Enhancing the Environmental Effectiveness of Overall Thermal Transfer Value (OTTV) Regulation for Green Building Design in Hong Kong,"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A1.051.17B_Final Report_Dr Chan.pdf,2017-18 (Second Round),18,304750,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A1.051.17B.zip
2016.A4.035.17B,Out-of-home Activities and Social Exclusion among Hong Kong's Aging Population: A Study of the Elderly's Activity-travel Patterns and Its Implication on Well-being,"Prof HE Ying, Sylvia",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A4.035.17B_Final Report_Prof He.pdf,2017-18 (Second Round),12,397853,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data set_2016.A4.035.17B.zip
2017.A1.058.17C,Demographic and Social Indicators of Youth Volunteering in Hong Kong,"Dr LIU Suk Ching, Elaine",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A1.058.17C_Final Report_Dr Liu.pdf,2017-18 (Third Round),12,842950,Youth Development,
2017.A3.011.17C,Relationship between Poverty and Neurocognitive Skills,"Dr LAU Ka Wai, Maggie",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A3.011.17C_Final Report_Dr Lau.pdf,2017-18 (Third Round),33,700000,Livelihood Issues,
2017.A4.037.17C,"Promoting e-mobility in Hong Kong: Institutional and Spatial Contexts, Public Acceptance, and the Location Choice of Public EV Charging Facilities","Prof HE Ying, Sylvia",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A4.037.17C_Final Report_Prof He.pdf,2017-18 (Third Round),26,530725,"Economic Development, Others",https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2017.A4.037.17C.zip
